Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,112,Maize (corn),2020,2020,t,271776,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,112,Maize (corn),2016,2016,t,47000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,112,Maize (corn),2017,2017,t,26000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,112,Maize (corn),2018,2018,t,18792,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,112,Maize (corn),2019,2019,t,28000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,112,Maize (corn),2020,2020,t,41000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1323,Oranges,2016,2016,t,4361,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1323,Oranges,2017,2017,t,4026,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1323,Oranges,2018,2018,t,4892,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1323,Oranges,2019,2019,t,5782.69,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1323,Oranges,2020,2020,t,3001,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1323,Oranges,2016,2016,t,365,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1323,Oranges,2017,2017,t,337,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1323,Oranges,2018,2018,t,410,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1323,Oranges,2019,2019,t,440.93,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1323,Oranges,2020,2020,t,654.59,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1342.01,Pears,2016,2016,t,5226,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1342.01,Pears,2017,2017,t,7598,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1342.01,Pears,2018,2018,t,7551,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1342.01,Pears,2019,2019,t,6966,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1342.01,Pears,2020,2020,t,18020,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1342.01,Pears,2016,2016,t,438,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1342.01,Pears,2017,2017,t,636,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1342.01,Pears,2018,2018,t,632,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1342.01,Pears,2019,2019,t,629.43,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1342.01,Pears,2020,2020,t,1496.38,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1510,Potatoes,2016,2016,t,427917,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1510,Potatoes,2017,2017,t,513194,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1510,Potatoes,2018,2018,t,615684,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1510,Potatoes,2019,2019,t,921122,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1510,Potatoes,2020,2020,t,855395,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1510,Potatoes,2016,2016,t,26062,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1510,Potatoes,2017,2017,t,40499,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1510,Potatoes,2018,2018,t,40817,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1510,Potatoes,2019,2019,t,46777.79,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1510,Potatoes,2020,2020,t,39294.29,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,21411,Raisins,2016,2016,t,46211,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,21411,Raisins,2017,2017,t,47576,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,21411,Raisins,2018,2018,t,47374,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,21411,Raisins,2019,2019,t,58911.99,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,21411,Raisins,2020,2020,t,54153.55,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,113,Rice,2016,2016,t,356565,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,113,Rice,2017,2017,t,338420,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,113,Rice,2018,2018,t,352177,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,113,Rice,2019,2019,t,382500,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,113,Rice,2020,2020,t,439549,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,113,Rice,2016,2016,t,25000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,113,Rice,2017,2017,t,24000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,113,Rice,2018,2018,t,24520,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,113,Rice,2019,2019,t,27000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,113,Rice,2020,2020,t,31000,A,Official figure
