Country,Maize (corn),Rice,Sugar cane,Tomatoes,Bananas,"Groundnuts, excluding shelled","Cassava, fresh",Cocoa beans,"Coffee, green",Pineapples,Sweet potatoes,"Mangoes, guavas and mangosteens","Coconuts, in shell",Loss
Sao Tome and Principe,783.848,,,,6083.746,,1406.032,3109.5,7.468000000000001,,,,945.0,378.8921428571429
Senegal,517817.304,1134817.7119999998,1341600.0,125082.0,34384.4,1368717.1180000002,960143.774,,,,75190.196,128290.0,3520.0,21278.36142857143
Seychelles,,,,433.07399999999996,1986.2959999999998,,231.95999999999998,,,33.230000000000004,,68.666,3623.8379999999997,61.4564
Sierra Leone,24637.4,937672.6,80505.738,20213.6,,45121.8,1925268.816,35881.2,2407.4,,166685.6,22994.234,5783.307999999999,17917.150857142857
Solomon Islands,,2742.572,,,316.65,,3077.306,4500.0,,,106061.976,,120000.0,4519.579999999999
Sri Lanka,253782.5,4089209.8,724543.46,88682.81999999999,,27937.940000000002,309891.24,1655.3799999999999,5816.12,47361.8,41783.5,114924.0,2233920.0,36219.76813333333
Suriname,88.0,273105.2,97478.716,1306.8,40771.2,24.0,7337.8,4.568,5.854,3222.6,801.8,2614.2,14342.4,2593.920512820513
Timor-Leste,82007.464,55383.928,,573.6719999999999,476.45,3768.732,23667.912,175.092,7458.344,138.36399999999998,5910.902,7456.836,30320.0,761.266119402985
Togo,873060.2,146033.4,,5233.852,24324.176,43116.0,1086019.2480000001,9920.0,18804.796,1859.3939999999998,7256.022,0.0,11120.0,9753.965918367347
Trinidad and Tobago,4428.528,1067.6,0.0,2209.8,3433.624,,2269.8,440.0,711.516,2007.8,1633.0939999999998,2349.918,17760.0,252.9121739130435
Uganda,3211943.0,228370.0,5378000.0,37538.602,0.0,216131.6,2918495.8,35000.0,300677.0,6735.834,1512804.0,,,26564.04
Vanuatu,907.85,,,,16691.102,2674.424,,1152.2,36.734,,,,349600.0,6615.9095
Zambia,2853273.382,34474.99800000001,4522013.932,25897.416,695.606,151727.518,3594896.6160000004,,6645.598,7149.322,175176.06800000003,,,25648.808783783785
