Country,Maize (corn),Rice,Sugar cane,Tomatoes,Bananas,"Groundnuts, excluding shelled","Cassava, fresh",Cocoa beans,"Coffee, green",Pineapples,Sweet potatoes,"Mangoes, guavas and mangosteens","Coconuts, in shell",Loss
Antigua and Barbuda,37.726,,0.0,194.75000000000003,123.97400000000002,,85.33000000000001,,,198.642,161.934,1408.8880000000001,,26.088979591836733
Barbados,81.346,,107474.402,593.614,1012.6539999999999,10.786000000000001,583.942,,,,1851.464,,2013.8100000000002,823.9353333333332
Belize,74890.318,15234.158000000001,1637452.6,1972.8,83923.8,106.6,678.4,132.2,89.458,2743.6,115.8,32.6,1482.8080000000002,7514.07
Benin,1506618.024,367423.822,77800.0,306884.11,20110.038,169811.31,4071730.3740000003,0.0,55.722,347321.51,71039.676,15745.302,14308.405999999999,48304.90196428572
Burkina Faso,1693416.3199999998,377719.25,497655.18799999997,281600.0,48600.0,442022.23,19400.0,,,,77345.886,14355.223999999998,,16770.588085106385
Burundi,258681.2,143087.56,204157.984,,1171643.676,9614.528,2383682.614,,15247.891999999998,,752937.272,,,8826.223999999998
Cambodia,888000.0,10699140.0,2176082.084,,191526.88799999998,21714.2,7515326.362000001,,368.674,23823.818,43595.524,64651.998,83600.0,82236.58066666666
Cameroon,2105811.158,325587.47000000003,1212222.368,1100703.668,1139631.03,541535.4,4692017.694,253420.0,36085.664000000004,314584.436,414570.776,878.1659999999999,3950.512,27942.07404761905
Cabo Verde,1487.48,,25114.0,14690.91,8110.4,0.0,4063.0,,49.79600000000001,,4554.4,2129.4,5760.0,588.6142
Central African Republic,96711.626,12243.024000000001,123139.964,,136904.742,138816.172,754119.186,130.31199999999998,10058.885999999999,16514.54,,12687.364,,1769.1127999999999
Comoros,6287.4220000000005,31210.109999999997,,677.066,46832.484,982.528,65441.50199999999,42.354,138.55599999999998,,7284.023999999999,,100560.0,1596.2985714285714
Costa Rica,12362.26,168082.76,4127357.94,52727.202000000005,2535448.9299999997,223.67400000000004,119676.62000000002,669.0,78716.072,3126915.8,720.0,35870.58,17122.434,48169.39031914893
Cuba,337692.51599999995,407616.97000000003,16139740.0,478039.15,282396.88,5849.612,838725.8200000001,1338.2,7459.95,39444.119999999995,489628.39600000007,378210.07999999996,49044.316,66712.73597826087
Djibouti,16.904000000000003,,53.822,1815.1560000000002,,,,,,,,597.328,,124.93446153846153
Dominica,190.98999999999998,,4878.8099999999995,428.03999999999996,21301.268,,1228.354,1140.0,232.22200000000004,128.478,2340.4219999999996,2054.3940000000002,8880.0,149.75560000000002
Dominican Republic,46264.833999999995,916248.6,5092792.4,230690.92400000003,1180754.318,6444.32,169010.98,81525.992,14876.372,411280.51999999996,52437.166000000005,40550.788,403068.338,37992.15691358025
Ecuador,1327202.942,1277486.5219999999,9093560.309999999,44029.240000000005,6384856.638,22586.884,80856.032,246054.08200000002,5990.96,116261.03600000001,4018.3239999999996,85826.142,14293.14,29996.30712
El Salvador,815981.118,26219.447999999997,7353258.192,21053.275999999998,13849.723999999998,0.0,29041.533999999996,364.234,38815.654,2542.6040000000003,747.2059999999999,31024.6,86660.44399999999,8075.9052
Fiji,1227.8600000000001,8043.4220000000005,1649400.0,582.22,5448.262,354.05800000000005,70415.956,11.4,14.701999999999998,6325.976,8636.73,328.256,22944.1,5786.238974358973
Gabon,44904.906,1705.5720000000001,286439.902,416.40599999999995,17997.628,33157.652,308511.032,100.0,99.36,1217.564,3757.754,,,2590.2
Ghana,2394294.698,818211.9820000001,152330.03199999998,368377.272,98793.82800000001,414125.762,20370668.382,918284.0,736.0,668342.692,142373.62399999998,99351.504,474000.0,53906.023943661974
Grenada,381.828,,5553.688,1534.6,4907.4,,0.0,694.4,,108.8,1344.2,1486.0240000000001,7200.0,157.46132530120482
Guatemala,1930952.852,28900.253999999997,28936872.956,359637.612,4006341.1019999995,10111.944,4199.4,11663.545999999998,232588.944,341053.97400000005,175.43,125525.54000000001,16320.0,28493.962192982457
Guinea,790086.0,2303768.0,312946.778,,224496.07400000002,708131.0,1984627.2,18560.0,44935.252,92955.972,275931.6,185111.806,52694.797999999995,93066.787
Guyana,4000.0,632234.304,1555366.1479999998,29415.93,16461.65,387.84,61595.3,478.21399999999994,513.8,30797.513999999996,17720.776,7865.332,15308.922,7618.189655172414
Haiti,217111.6,174768.8,1484836.5320000001,2385.032,271372.922,15369.006,626385.882,5239.566000000001,20675.6,7078.128,108545.972,435885.31799999997,35250.0,15978.973875
Honduras,651639.0680000001,61924.030000000006,5340252.63,80255.184,659639.4199999999,81.6,26107.16,1113.0,432000.62,83826.038,19364.332000000002,489.24799999999993,13731.401999999998,9060.3966
Jamaica,2226.418,3.12,910673.6,28637.296000000002,63161.8,2446.296,24756.94,357.0,6757.8,31723.18,45714.43,2855.468,95704.4,7680.675421686747
Liberia,,279214.0,273602.236,3608.264,139350.38799999998,6607.005999999999,605399.28,17400.0,631.266,9044.536,23904.095999999998,,8400.0,5625.418500000001
Malawi,3123076.2,119064.5,2919719.484,583065.416,409893.996,341194.4,5386936.4,,9543.8,285228.314,5778445.8,1669951.426,,60661.11688888889
Malaysia,67007.88200000001,2531716.58,25156.714,199845.51999999996,326043.07200000004,226.11999999999998,44037.142,1056.8,5289.592,338588.602,49555.083999999995,89422.0,523096.54399999994,29108.974027777775
Maldives,144.066,,,223.238,602.796,,6.026,,,,3.982,64.534,357.584,38.11033333333334
Mauritius,503.4,110.4,3338483.6,9391.8,7785.245999999999,277.6,620.58,,0.0,9328.592,486.26399999999995,,1200.0,13226.359855072464
Nicaragua,397110.856,444816.08599999995,6919195.658,79099.236,105916.67,184556.574,207983.23599999998,6715.87,141634.63,65874.476,,,6480.0,40147.51632352942
Papua New Guinea,12604.438,867.926,350489.646,534.088,1269213.246,1494.114,154167.536,36380.0,47897.653999999995,23241.926,700168.9460000001,,1780312.0,13470.604249999999
Peru,1540102.834,3297916.3860000004,10188005.342,222440.13999999998,2165631.168,5701.023999999999,1247413.73,133026.016,340247.544,530644.8099999999,269114.494,419156.91799999995,33780.96800000001,89434.19579310347
Rwanda,405347.682,116292.878,97391.286,104034.00200000001,1551871.0,18021.468,1112162.6099999999,,28975.055999999993,20478.136000000002,1141605.074,7501.0199999999995,,8559.735072463769
Samoa,,,11.937999999999999,,22700.814000000002,,449.13199999999995,480.686,11.331999999999999,4562.83,,4254.2880000000005,54501.6,1217.2024242424243
