Country,Maize (corn),Rice,Sugar cane,Tomatoes,Bananas,"Groundnuts, excluding shelled","Cassava, fresh",Cocoa beans,"Coffee, green",Pineapples,Sweet potatoes,"Mangoes, guavas and mangosteens","Coconuts, in shell",Loss
Papua New Guinea,11999.308,833.8400000000001,354000.0,522.87,1218911.122,1403.7239999999997,147416.53199999998,41793.758,58609.128000000004,22409.222,655778.938,,1437524.8,21600.342857142856
Peru,1627236.328,2953348.69,10569503.098000001,234227.208,2087238.6600000001,6153.2,1168941.206,72881.798,276387.398,436348.826,292332.392,347121.9,33302.0,90277.98620689654
Rwanda,543957.2,85704.8,99011.226,117846.91199999998,1937264.8,12427.48,944395.6,,19669.68,28313.45,960688.04,13067.342,,44082.060975609755
Samoa,,,11.978,,23361.167999999998,,418.058,458.174,10.870000000000001,4506.656,,4040.7960000000007,150763.8,1737.5333333333333
Sao Tome and Principe,886.1700000000001,,,,34123.94,,1365.068,2653.02,6.468000000000001,,,,40184.0,1480.030303030303
Senegal,212288.93,555399.0,993000.0,164142.6,34415.0,723385.4,237441.8,,,,36101.078,126200.0,4132.4,11730.666666666666
Seychelles,,,,414.22200000000004,1960.0940000000003,,227.554,,,36.612,,63.831999999999994,3020.0,57.58181818181818
Sierra Leone,35021.2,1120405.4,77558.93,21531.598,,80434.61799999999,3549136.4659999995,15986.348000000002,21392.256,,219044.016,22560.838,4740.0,15219.82
Solomon Islands,,2754.638,,,298.06800000000004,,3036.8419999999996,5061.504,,,99286.036,,120000.0,6174.533333333334
Sri Lanka,203423.31,4112366.2,808365.4,83883.42,,23141.178,302265.0,1677.812,5681.0599999999995,56018.340000000004,48136.428,81466.09599999999,2206604.0,33491.693181818184
Suriname,55.4,253150.41400000002,120135.718,1136.0,81799.4,30.6,5521.0,5.146,5.884,657.2,560.8,1851.6,8966.8,2832.9384615384615
Timor-Leste,91649.0,93032.0,,535.0899999999999,463.486,4120.104,26331.134000000002,158.924,5396.0,141.796,7360.634,7150.722,15008.0,940.8909090909091
Togo,759371.2,164494.4,,5541.682000000001,23598.683999999997,42294.8,1010706.6,44836.335999999996,13177.2,1788.42,11166.4,0.0,12365.4,9124.423076923076
Trinidad and Tobago,3485.7660000000005,2491.1400000000003,0.0,1776.0,3537.2299999999996,,2726.0,384.712,51.339999999999996,1172.3600000000001,1751.2,1001.7180000000001,15163.76,291.22429906542055
Uganda,2742783.8,226840.2,4375000.0,34946.726,0.0,301760.806,2807441.6,22800.0,209934.8,3278.084,1864796.818,,,21891.58
Vanuatu,868.856,,,,15716.144,2591.8920000000003,,1675.2040000000002,37.676,,,,349480.0,4972.8840740740725
Zambia,2874951.8,42926.4,4371000.0,26907.606,674.122,157819.46000000002,1045390.8,,6329.586,5997.5475,153388.2,,,26504.571428571428
