Country,Year,Maize (corn),Rice,Sugar cane,Tomatoes,Bananas,"Groundnuts, excluding shelled","Cassava, fresh",Cocoa beans,"Coffee, green",Pineapples,Sweet potatoes,"Mangoes, guavas and mangosteens","Coconuts, in shell",Loss,GHG
Seychelles,2016,,,,427.37,1980.09,,229.58,,,35.02,,66.54,3500,39,1.5465
Seychelles,2017,,,,434.85,1982.24,,231.61,,,33.25,,69.12,3500,38,1.5174
Seychelles,2017,,,,434.85,1982.24,,231.61,,,33.25,,69.12,3500,1,1.5174
Seychelles,2017,,,,434.85,1982.24,,231.61,,,33.25,,69.12,3500,185,1.5174
Seychelles,2017,,,,434.85,1982.24,,231.61,,,33.25,,69.12,3500,5,1.5174
Seychelles,2017,,,,434.85,1982.24,,231.61,,,33.25,,69.12,3500,88,1.5174
Seychelles,2017,,,,434.85,1982.24,,231.61,,,33.25,,69.12,3500,2,1.5174
Seychelles,2017,,,,434.85,1982.24,,231.61,,,33.25,,69.12,3500,4,1.5174
Seychelles,2017,,,,434.85,1982.24,,231.61,,,33.25,,69.12,3500,3,1.5174
Seychelles,2017,,,,434.85,1982.24,,231.61,,,33.25,,69.12,3500,108,1.5174
Seychelles,2017,,,,434.85,1982.24,,231.61,,,33.25,,69.12,3500,40,1.5174
Seychelles,2018,,,,435.93,1992.31,,234.24,,,31.76,,69.94,3600,44,1.4871
Seychelles,2018,,,,435.93,1992.31,,234.24,,,31.76,,69.94,3600,1,1.4871
Seychelles,2018,,,,435.93,1992.31,,234.24,,,31.76,,69.94,3600,182,1.4871
Seychelles,2018,,,,435.93,1992.31,,234.24,,,31.76,,69.94,3600,5,1.4871
Seychelles,2018,,,,435.93,1992.31,,234.24,,,31.76,,69.94,3600,278,1.4871
Seychelles,2018,,,,435.93,1992.31,,234.24,,,31.76,,69.94,3600,2,1.4871
Seychelles,2018,,,,435.93,1992.31,,234.24,,,31.76,,69.94,3600,4,1.4871
Seychelles,2018,,,,435.93,1992.31,,234.24,,,31.76,,69.94,3600,3,1.4871
Seychelles,2018,,,,435.93,1992.31,,234.24,,,31.76,,69.94,3600,119,1.4871
Seychelles,2018,,,,435.93,1992.31,,234.24,,,31.76,,69.94,3600,39,1.4871
Seychelles,2019,,,,432.72,1986.63,,231.81,,,33.34,,68.53,3682.26,40.95,1.457
